Hydrology;Spatial Planning;Business Administration;Natural Hazards;Methods
Hydrologie I+II;Probleme der Raumentwicklung: Beiträge der Political Ecology;Einführung in das Management;The high-mountain cryosphere: processes and risks;Geoprocessing I-III
Seminar Hydrologie;Forum Nachhaltigkeit - Wälder als sozial-ökologische Systeme;Finanzielles Rechnungswesen I - Grundlagen;Geomorphologische Feldaufnahmen;Field Measurement Techniques for Geomorphology
Grundzüge Erdwissenschaften I+II;Urban and Regional Development Theories;Personal und Organisation;Allgemeine Bodenkunde;Remote Sensing for Environmental Management
Meteorologie I+II;Proseminar Bodenkunde;Grundlagen des Markenmanagements;Grundzüge Erdwissenschaften I+II;Geosensorik der Umwelt
Klimatologie III;Allgemeine Bodenkunde;Erfolgreich vernetzt führen - Neue Medien in der Personalführung (E-Leadership);Seminar Hydrologie;Data science and network theory
Bachelorarbeit: Wasserretention von Schnee - Die Erkenntnisse eines Feldversuchs;Geoprocessing I-III;Personalmanagement;Bachelorarbeit: Wasserretention von Schnee - Die Erkenntnisse eines Feldversuchs;
Hydrological field measurements;;Management von Familienunternehmen;Geoprocessing I-III;
Proseminar Bodenkunde;;International Marketing;Field Measurement Techniques for Geomorphology;
Allgemeine Bodenkunde;;;Remote Sensing for Environmental Management;
Geomorphologische Feldaufnahmen;;;Geosensorik der Umwelt;
Geoprocessing I-III;;;;
Field Measurement Techniques for Geomorphology;;;;
Remote Sensing for Environmental Management;;;;
Geosensorik der Umwelt;;;;
Masterarbeit: Abflussmodellierung eines vergletscherten Einzugsgebietes;;;;
Data science and network theory;;;;
The high-mountain cryosphere: processes and risks;;;;
